Date / Time,City,State,Shape,Duration,Summary,Posted,Type
2/14/20 02:46,San Francisco,CA,Unknown,1 second,Something extremely bright flew by my bedroom window with a high pitched sound woooooo. Half of my room was lit with a flash of light.,2/25/20,Sighting
2/14/20 00:04,Plantation,FL,Fireball,~90 seconds,"UFO sighting in Plantation, FL.",2/25/20,Sighting
2/13/20 23:04,Tulsa,OK,Triangle,13 minutes,Triangular object with a single white bright light on each corner. Hovered until I got closer and then took off north,2/25/20,Sighting
2/13/20 21:30,Winston-Salem,NC,Sphere,30 seconds,"I saw a very bright orange/red/pinkish sphere to the northeast of my house. At first, I thought it was a planet until I realized it wa",2/25/20,Sighting
2/13/20 21:30,Georgetown,TX,,30 seconds,"LARGE CIRCULAR OBJECT OVER GEORGETOWN, TEXAS.",2/25/20,Sighting
2/13/20 21:20,Detroit,MI,Light,1 minute,White light over Detroit & Windsor moving significantly faster & different direction than normal heavy early night airport traffic.,2/25/20,Sighting
2/13/20 21:00,Cedar lake,IN,Circle,2 hours,Spinning light in sky.,2/25/20,Sighting
2/13/20 21:00,Hagerman,ID,Light,20 minutes,"Extremely bright, orange light twinkling above the hills, disappeared after a few minutes",2/25/20,Sighting
2/13/20 20:53,Carlsbad,CA,Chevron,5 seconds,"Un-lit, silent V shaped object seen and illuminated from the ground",2/25/20,Sighting
2/13/20 20:00,Salmon,ID,Disk,1 hour,Super bright light that dimmed and got bright again moving slowly above the mtn line and then disappeared behind the mtn. Very low to t,2/25/20,Sighting
2/13/20 19:00,Louisville,GA,Circle,5 minutes,"Whilst travelling down US 121, a light appeared, dissapeared, and reappeared again 5-10 times, moving incrementally before each appeara",2/25/20,Sighting
